0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
RH,	0,	RH,	0,	RH,	0,	T,	0,	0,	0,	T,	0,	YH,	0,	YH,	0,	YH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
RH,	0,	RH,	0,	RH,	0,	T,	0,	0,	0,	T,	0,	YH,	0,	YH,	0,	YH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
RH,	0,	RH,	0,	RH,	0,	T,	0,	0,	0,	T,	0,	YH,	0,	YH,	0,	YH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
RH,	0,	RH,	0,	RH,	0,	T,	0,	0,	0,	T,	0,	YH,	0,	YH,	0,	YH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
RH,	0,	RH,	0,	RH,	0,	T,	0,	0,	0,	T,	0,	YH,	0,	YH,	0,	YH
0,	T,	0,	T,	0,	T,	0,	0,	0,	0,	0,	0,	0,	T,	0,	T,	0
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	T,	0,	T,	0,	0,	0,	0,	0,	0,	0,	T,	0,	T,	0,	T,	0
BH,	0,	BH,	0,	BH,	0,	T,	0,	0,	0,	0,	0,	RH,	0,	RH,	0,	RH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
BH,	0,	BH,	0,	BH,	0,	T,	0,	0,	0,	T,	0,	RH,	0,	RH,	0,	RH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
BH,	0,	BH,	0,	BH,	0,	T,	0,	0,	0,	T,	0,	RH,	0,	RH,	0,	RH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
BH,	0,	BH,	0,	BH,	0,	T,	0,	0,	0,	T,	0,	RH,	0,	RH,	0,	RH
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
BH,	0,	BH,	0,	BH,	0,	T,	0,	0,	0,	T,	0,	RH,	0,	RH,	0,	RH
